APK size,Ads,Designed for Android,Ranking,Rating,Recent downloads,Suitable for,Total downloads,about_section,app_description,app_name,changelog_date,changelog_description,changelog_type,developer_email,developer_name,developer_website,package_name,status,tech_Ad network libraries,tech_Development tools,tech_Social libraries,timestamp,url
97.1 MB,Contains ads,9.0+,Top ranked,4.45 based on 4.1 million ratings,8.6 million,,910 million,"Amazon Shopping is a shopping app developed by Amazon Mobile LLC. The APK has been available since December 2014 . In the last 30 days, the app was downloaded about 8.6 million times. It's top ranked. It's rated 4.45 out of 5 stars, based on 4.1 million ratings. The last update of the app was on May 28, 2025 . Amazon Shopping has a content rating ""Medium Maturity"" . Amazon Shopping has an APK download size of 97.06 MB and the latest version available is 30.11.0.100 . Designed for Android version 9.0+ . Amazon Shopping is FREE to download.","Product Features
Amazon Shopping offers app-only benefits to help make shopping on Amazon faster and easier than shopping on your desktop.
Never miss a delivery
Get real-time tracking and delivery notifications so you know where your package is and when it arrives. 
Know exactly what you’re purchasing
Full 360° product view lets you see items from every angle. “View in you room” makes sure it fits by using your phone’s camera and VR so you can see it in your space. 
We’ll notify you when items go on sale
Just tap the heart icon to save items to Your Lists and we’ll alert you of price drops so you don’t miss a deal. 
Never forget your password
Save time by staying securely signed in. If you prefer to sign out, use facial or fingerprint identification to sign back in. 
Connect with us when it works best for you
Live chat support is open 24 hours, 7 days a week. Once you’ve started a chat, it stays that way for 24 hours so you don’t have to start your support session from the beginning. 
We’ll find that item for you
Not sure of an item’s brand or where to buy it? Just tap the scan icon in the search bar, take a picture of the item or its barcode, and we’ll find it for you.
Product Description
Browse, search, view product details, read reviews, and purchase millions of products. We deliver to 100+ countries in as quickly as 3-5 days. Whether you’re buying gifts, reading reviews, tracking orders, scanning products, or just shopping, Amazon Shopping app offers more benefits than shopping on Amazon via your desktop.   
Important Note Regarding Permissions
Please note that the Amazon Shopping app requires access to the following services to operate properly:
* 
Contacts:
 Allows you to send Amazon gift cards to your contacts or invitation to install the Amazon app.
* 
Camera:
 Allows the Amazon app to access your camera on the device. You can use your camera to find products by scanning the cover or its barcode, to add gift cards and credit cards, or to add pictures in the product reviews.
* 
Flashlight:
 Allows the Amazon app to turn on the flashlight. You can use the flashlight to find products with the camera feature even in low-light or dark conditions.
* 
Microphone:
 Allows the Amazon app to access your microphone to use your voice to search and interact with your Assistant.
* 
Location:
 Allows the Amazon app to access your location to help you discover local offers and select addresses fast.
* 
Account:
 Allows you to share products on Amazon with your friends and families through Facebook or other social networks.
* 
Phone:
 Allows the Amazon app to pre-populate the Amazon Customer Service number on your phone’s keypad.
* 
Storage:
 Allows the Amazon app to store your preferences so that some features can load and run faster on the device.
* 
Wi-Fi:
 This permissions is used when setting up either a Dash Button or Dash Wand using the Amazon Shopping app.
The Amazon App for Tablets is available on Google Play. Search for ""Amazon Tablet"" to install the app and begin shopping.
For customers located within the European Union, United Kingdom, Brazil, or Turkey: By using this app, you agree to Amazon’s Conditions of Use applicable for your country. Please also see the applicable Privacy Notice, Cookies Notice and Interest-Based Ads Notice for your country. Links to these terms and notices can be found in the footer of your local Amazon homepage.
For all other customers: By using this app, you agree to the applicable Amazon Conditions of Use (e.g. www.amazon.com/conditionsofuse) and Privacy Notice (e.g. www.amazon.com/privacy) for your country. Links to these terms and notices can be found in the footer of your local Amazon homepage.",Amazon Shopping for Android - Free App Download,"May 28, 2025",Version 30.11.0.100,Update,feedback-amazon-app-android@amazon.com,Amazon Mobile LLC,https://www.amazon.com,com.amazon.mShop.android.shopping,success,Amazon Mobile Ads,"Android Jetpack core, Android Architecture Components, Android Jetpack VersionedParcelable, Firebase, Android Jetpack Annotations, Android Jetpack Widgets, Android Jetpack AppCompat, AndroidX Activity, Android Activity Saved State, AndroidX Loader, Android Jetpack Media, Google Cloud Messaging (GCM), Android Transition Support Library, Android Support Library collections, Android Support VectorDrawable, Kotlin, AndroidX Cursor Adapter, AndroidX Local Broadcast Manager, AndroidX Legacy: Support Library core UI, Google gson, Android WorkManager, AndroidX Widget ViewPager2, Okio, Glide, AndroidX ExifInterface, Google ZXing, Picasso, Retrofit, Chromium, Google Guava, ReactiveX, BoltsFramework, Google Protocol Buffers, Dagger, Lottie, Volley, Reactive Streams, Yoga, React Native, PhoneGap / Apache Cordova, FasterXML Jackson, Simple Logging Facade for Java (SLF4J), CircleImageView, Apache Commons I/O, Apache Commons Codec, jsoup: Java HTML Parser, The Legion of the Bouncy Castle, Apache Http Auth, ReLinker, Amazon AWS SDK for Android, AndroidSVG, Google Play Licensing Service, Apache Commons Logging, Apache HttpMime API, Disk LRU Cache, TensorFlow Lite, Apache Commons Lang, SmoothProgressBar, jMonkeyEngine",,2025-06-11T19:11:19.567729,https://www.appbrain.com/app/body-color-swap/com.amazon.mShop.android.shopping
47.2 MB,Contains ads,4.4+,Top ranked,4.41 based on 10 million ratings,17 million,,1.3 billion,"Pinterest is a lifestyle app developed by Pinterest. The APK has been available since August 2012 . In the last 30 days, the app was downloaded about 17 million times. It's top ranked. It's rated 4.41 out of 5 stars, based on 10 million ratings. The last update of the app was on June 4, 2025 . Pinterest has a content rating ""Medium Maturity"" . Pinterest has an APK download size of 47.24 MB and the latest version available is 13.21.0 . Designed for Android version 4.4+ . Pinterest is FREE to download.","Pinterest is a place of endless possibilities. You can:
- Discover everyday inspiration
- Shop styles you love
- Try and learn something new
Create boards, save Pins and make collages of all your inspiration. Unlock billions of ideas, from fashion tips  👠 and easy recipes 🍜 to DIY projects 🛠️ and fresh ways to redo your space. Creating the life you love?
It's Possible.
Recent changes:
Every week we polish up the Pinterest app to make it faster and better than ever. Tell us if you like this newest version at https://help.pinterest.com/contact",Pinterest for Android - Free App Download,"Jun 4, 2025",Version 13.21.0,Update,help@pinterest.com,Pinterest,https://help.pinterest.com,com.pinterest,success,,"Android Jetpack core, Android Architecture Components, Android Jetpack VersionedParcelable, Android Jetpack Annotations",,2025-06-11T19:11:50.432824,https://www.appbrain.com/app/body-color-swap/com.pinterest
98.6 MB,Contains ads,5.0+,Top ranked,3.94 based on 150 million ratings,230 million,,19 billion,"YouTube is a video players & editors app developed by Google LLC. The APK has been available since October 2010 . In the last 30 days, the app was downloaded about 230 million times. It's top ranked. It's rated 3.94 out of 5 stars, based on 150 million ratings. The last update of the app was on June 6, 2025 . YouTube has a content rating ""Medium Maturity"" . YouTube has an APK download size of 98.56 MB and the latest version available is 20.22.38 . Designed for Android version 5.0+ . YouTube is FREE to download.","Get the official YouTube app on Android phones and tablets. See what the world is watching -- from the hottest music videos to what’s popular in gaming, fashion, beauty, news, learning and more. Subscribe to channels you love, create content of your own, share with friends, and watch on any device.
Watch and subscribe 
● Browse personal recommendations on Home
● See the latest from your favorite channels in Subscriptions 
● Look up videos you’ve watched, liked, and saved for later in Library 
Explore different topics, what’s popular, and on the rise (available in select countries)
● Stay up to date on what’s popular in music, gaming, beauty, news, learning and more
● See what’s trending on YouTube and around the world on Explore
● Learn about the coolest Creators, Gamers, and Artists on the Rise (available in select countries)
Connect with the YouTube community
● Keep up with your favorites creators with Posts, Stories, Premieres, and Live streams
● Join the conversation with comments and interact with creators and other community members
Create content from your mobile device
● Create or upload your own videos directly in the app 
● Engage with your audience in real time with live streaming right from the app
Find the experience that fits you and your family (available in select countries)
● Every family has their own approach to online video. Learn about your options: the YouTube Kids app or a new parent supervised experience on YouTube at youtube.com/myfamily
Support creators you love with channel memberships (available in select countries)
● Join channels that offer paid monthly memberships and support their work
● Get access to exclusive perks from the channel & become part of their members community
● Stand out in comments and live chats with a loyalty badge next to your username
Upgrade to YouTube Premium (available in select countries)
● Watch videos uninterrupted by ads, while using other apps, or when the screen is locked
● Save videos for when you really need them – like when you’re on a plane or commuting
● Get access to YouTube Music Premium as part of your benefits
Recent changes:
For new features, look for in-product education & notifications sharing the feature and how to use it!",YouTube for Android - Free App Download,"Jun 6, 2025",Version 20.22.38,Update,ytandroid-support@google.com,Google LLC,https://app.youtube.com,com.google.android.youtube,success,AdMob,"Android Jetpack core, Android Architecture Components, Firebase, Android Jetpack Widgets, Android Jetpack Media, Google Cloud Messaging (GCM), AndroidX Legacy: Support Library core UI, Glide, Chromium, Google Analytics, Yoga, Litho",,2025-06-11T19:11:29.081443,https://www.appbrain.com/app/body-color-swap/com.google.android.youtube
98.5 MB,Contains ads,9.0+,Top ranked,3.94 based on 160 million ratings,100 million,,6.3 billion,"Instagram is a social app developed by Instagram. The APK has been available since April 2012 . In the last 30 days, the app was downloaded about 100 million times. It's top ranked. It's rated 3.94 out of 5 stars, based on 160 million ratings. The last update of the app was on June 3, 2025 . Instagram has a content rating ""Medium Maturity"" . Instagram has an APK download size of 98.54 MB and the latest version available is 383.1.0.48.78 . Designed for Android version 9.0+ . Instagram is FREE to download.","Little moments lead to big friendships. Share yours on Instagram. 
—From Meta
Connect with friends, find other fans, and see what people around you are up to and into. Explore your interests and post what's going on, from your daily moments to life's highlights.
Share what you’re up to and into on Insta®.
- Keep up with friends on the fly with Stories and Notes that disappear after 24 hours.
- Start group chats and share unfiltered moments with your Close Friends.
- Share memories from recent events or trips in Feed.
- Turn your life into a movie and discover short, entertaining videos on Instagram with Reels.
- Customize your posts with exclusive templates, music, stickers and filters.
Dive into your interests.
- Watch videos from your favorite Creators and discover new content that’s personalized to your interests.
- Get inspired by photos and videos from new accounts in Explore.
- Discover brands and small businesses, and shop products that are relevant to your personal style.
Some Instagram features may not be available in your country or region.
Terms and Policies - https://help.instagram.com/581066165581870
Consumer Health Privacy Policy: https://privacycenter.instagram.com/policies/health
Learn how we're working to help keep our communities safe across Meta technologies at the Instagram Safety Center: https://about.instagram.com/safety",Instagram for Android - Free App Download,"Jun 3, 2025",Version 383.1.0.48.78,Update,instagram-android@meta.com,Instagram,http://help.instagram.com/,com.instagram.android,success,,"Android Jetpack core, Android Architecture Components, Android Jetpack VersionedParcelable, Firebase, Android Jetpack Widgets, Android Jetpack AppCompat, AndroidX Activity, AndroidX Loader, Android Jetpack Media, Google Cloud Messaging (GCM), Android Transition Support Library, Kotlin, Google gson, Android WorkManager, AndroidX Widget ViewPager2, Glide, Chromium, Google Protocol Buffers, Google Analytics, Lottie, Yoga, React Native, FasterXML Jackson, Simple Logging Facade for Java (SLF4J), Android GIF Drawable, Litho, PyTorch",Facebook,2025-06-11T19:16:04.301992,https://www.appbrain.com/app/body-color-swap/com.instagram.android
128.5 MB,Contains ads,5.0+,Top ranked,4.11 based on 36 million ratings,43 million,,3.5 billion,"Snapchat is a communication app developed by Snap Inc. The APK has been available since October 2012 . In the last 30 days, the app was downloaded about 43 million times. It's top ranked. It's rated 4.11 out of 5 stars, based on 36 million ratings. The last update of the app was on June 3, 2025 . Snapchat has a content rating ""Medium Maturity"" . Snapchat has an APK download size of 128.47 MB and the latest version available is 13.44.0.44 . Designed for Android version 5.0+ . Snapchat is FREE to download.","Snapchat is a fast and fun way to share the moment with your friends and family 👻
SNAP 
• Snapchat opens right to the Camera — just tap to take a photo, or press and hold for video.
• Express yourself with Lenses, Filters, Bitmoji and more! 
• Try out new Lenses daily created by the Snapchat community!
CHAT 
• Stay in touch with friends through live messaging, or share your day with Group Stories.
• Video Chat with up to 16 friends at once — you can even use Lenses and Filters when chatting!
• Express yourself with Friendmojis — exclusive Bitmoji made just for you and a friend.
STORIES
• Watch friends' Stories to see their day unfold.
• See Stories from the Snapchat community that are based on your interests.
• Discover breaking news and exclusive Original Shows.
SPOTLIGHT
• Spotlight showcases the best of Snapchat!
• Submit your own Snaps or sit back, relax, and watch.
• Pick your favorites and share them with friends.
MAP 
• Share your location with your best friends or go off the grid with Ghost Mode.
• See what your friends are up to on your most personal map when they share their location with you. 
• Explore live Stories from the community nearby or across the world!
MEMORIES 
• Save unlimited photos and videos of all your favorite moments.
• Edit and send old moments to friends or save them to your Camera Roll.
• Create Stories from your favorite Memories to share with friends and family.
FRIENDSHIP PROFILE 
• Every friendship has its own special profile to see the moments you’ve saved together.
• Discover new things you have in common with Charms — see how long you’ve been friends, your astrological compatibility, your Bitmoji fashion sense, and more!
• Friendship Profiles are just between you and a friend, so you can bond over what makes your friendship special.
Happy Snapping!
• • •
Please note: Snapchatters can always capture or save your messages by taking a screenshot, using a camera, or otherwise. Be mindful of what you Snap!
For a full description of our privacy practices, please see our Privacy Center.
Recent changes:
Just a little tune-up to keep everything running smoothly! 👻",Snapchat for Android - Free App Download,"Jun 3, 2025",Version 13.44.0.44,Update,snapchat@snap.com,Snap Inc,http://www.snapchat.com,com.snapchat.android,success,,"Android Jetpack core, Android Architecture Components, Android Jetpack VersionedParcelable, Firebase, Android Jetpack Widgets, Android Jetpack AppCompat, Google Cloud Messaging (GCM), Android Transition Support Library, Kotlin, Google gson, Android WorkManager, Glide, AndroidX Multi-Dex Library, Chromium, ReactiveX, greenrobot EventBus, ShortcutBadger, Google Protocol Buffers Nano",,2025-06-11T19:11:35.595767,https://www.appbrain.com/app/body-color-swap/com.snapchat.android
36.9 MB,NO ads,4.4+,Top ranked,3.90 based on 13 million ratings,27 million,,3 billion,"Netflix is an entertainment app developed by Netflix, Inc.. The APK has been available since May 2011 . In the last 30 days, the app was downloaded about 27 million times. It's top ranked. It's rated 3.90 out of 5 stars, based on 13 million ratings. The last update of the app was on June 2, 2025 . Netflix has a content rating ""Medium Maturity"" . Netflix has an APK download size of 36.89 MB and the latest version available is 9.18.2 build 10 62780 . Designed for Android version 4.4+ . Netflix is FREE to download.","Looking for the most talked about TV shows and movies from the around the world? They’re all on Netflix.
We’ve got award-winning series, movies, documentaries, and stand-up specials. And with the mobile app, you get Netflix while you travel, commute, or just take a break.
What you’ll love about Netflix:
• We add TV shows and movies all the time. Browse new titles or search for your favorites, and stream videos right on your device.
• The more you watch, the better Netflix gets at recommending TV shows and movies you’ll love.
• Enjoy a safe watching experience just for kids with family-friendly entertainment.
• Preview quick videos of our series and movies and get notifications for new episodes and releases.
For complete terms and conditions, please visit http://www.netflix.com/termsofuse
For privacy statement, please visit http://www.netflix.com/privacy
Recent changes:
Get the best experience for enjoying recent hits and timeless classics with our latest Netflix update for your phone and tablet.",Netflix for Android - Free App Download,"Jun 2, 2025",Version 9.18.2 build 10 62780,Update,playstore@netflix.com,"Netflix, Inc.",http://www.netflix.com,com.netflix.mediaclient,success,,"Android Jetpack core, Google Cloud Messaging (GCM), Google gson, Okio, Chromium, BoltsFramework, Volley, Yoga, React Native, FasterXML Jackson, The Legion of the Bouncy Castle, ReLinker, Realm, ViewPager indicator, AndroidSlidingUpPanel, dnsjava, Crittercism",,2025-06-11T19:11:11.411109,https://www.appbrain.com/app/body-color-swap/com.netflix.mediaclient
69.5 MB,NO ads,5.0+,Top ranked,4.43 based on 200 million ratings,130 million,Everyone,10 billion,"WhatsApp Messenger is a communication app developed by WhatsApp LLC. The APK has been available since October 2010 . In the last 30 days, the app was downloaded about 130 million times. It's top ranked. It's rated 4.43 out of 5 stars, based on 200 million ratings. The last update of the app was on June 2, 2025 . WhatsApp Messenger has a content rating ""Everyone"" . WhatsApp Messenger has an APK download size of 69.50 MB and the latest version available is 2.25.16.84 . Designed for Android version 5.0+ . WhatsApp Messenger is FREE to download.","WhatsApp from Meta is a FREE messaging and video calling app. It’s used by over 2B people in more than 180 countries. It’s simple, reliable, and private, so you can easily keep in touch with your friends and family. WhatsApp works across mobile and desktop even on slow connections, with no subscription fees*.
Private messaging across the world
Your personal messages and calls to friends and family are end-to-end encrypted. No one outside of your chats, not even WhatsApp, can read or listen to them.
Simple and secure connections, right away
All you need is your phone number, no user names or logins. You can quickly view your contacts who are on WhatsApp and start messaging.
High quality voice and video calls
Make secure video and voice calls with up to 8 people for free*. Your calls work across mobile devices using your phone’s Internet service, even on slow connections.
Group chats to keep you in contact
Stay in touch with your friends and family. End-to-end encrypted group chats let you share messages, photos, videos and documents across mobile and desktop.
Stay connected in real time
Share your location with only those in your individual or group chat, and stop sharing at any time. Or record a voice message to connect quickly.
Share daily moments through Status
Status allows you to share text, photos, video and GIF updates that disappear after 24 hours. You can choose to share status posts with all your contacts or just selected ones.
Use WhatsApp on your Wear OS watch to continue conversations, reply to messages, and take calls - all from your wrist. And, leverage tiles and complications to easily access your chats and send voice messages.
*Data charges may apply. Contact your provider for details.
---------------------------------------------------------
If you have any feedback or questions, please go to WhatsApp > Settings > Help > Contact Us
Terms of Service: https://www.whatsapp.com/legal/terms-of-service
 
 Learn more about messaging privately: https://www.whatsapp.com/privacy
 
 Learn more about WhatsApp safety: https://www.whatsapp.com/security
Recent changes:
• Chat Themes allow you to customize your bubble color and wallpaper. Choose from pre-set themes, new wallpapers, or mix and match. Go to ‘Settings’ > ‘Chats’ > ‘Default chat theme’ to change it everywhere or ‘Chat themes’ in Contact or Group info to change it for a specific chat.
These features will roll out over the coming weeks. Thanks for using WhatsApp!",WhatsApp Messenger for Android - Free App Download,"Jun 2, 2025",Version 2.25.16.84,Update,android@support.whatsapp.com,WhatsApp LLC,,com.whatsapp,success,,"Android Jetpack core, Android Architecture Components, Android Jetpack VersionedParcelable, Firebase, Android Jetpack Widgets, Android Jetpack AppCompat, Android Jetpack Media, Google Cloud Messaging (GCM), Android Transition Support Library, Kotlin, Android WorkManager, AndroidX Widget ViewPager2, Google Maps SDK, Chromium, Google Protocol Buffers, Lottie, Yoga, Simple Logging Facade for Java (SLF4J), Spongy Castle - Bouncy Castle for Android, Litho",Facebook,2025-06-11T19:16:12.961096,https://www.appbrain.com/app/body-color-swap/com.whatsapp
86.9 MB,Contains ads,4.1+,Top ranked,4.36 based on 160 million ratings,120 million,,11 billion,"Facebook is a social app developed by Meta Platforms, Inc.. The APK has been available since before 2010 . In the last 30 days, the app was downloaded about 120 million times. It's top ranked. It's rated 4.36 out of 5 stars, based on 160 million ratings. The last update of the app was on May 29, 2025 . Facebook has a content rating ""Medium Maturity"" . Facebook has an APK download size of 86.95 MB and the latest version available is 515.1.0.62.90 . Designed for Android version 4.1+ . Facebook is FREE to download.","Where real people propel your curiosity. Whether you’re thrifting gear, showing a reel to that group who gets it, or sharing laughs over fun images reimagined by AI, Facebook helps you make things happen like no other social network.
Explore and expand your interests: 
* Ask Meta AI to search topics that matter to you, and get instant results more interactive than just text
* Shop Marketplace for deals and hidden gems to nurture your hobbies
* Personalize your Feed to see more of what you like, less of what you don’t
* Dive into reels and videos for how-to’s or quick entertainment
Connect with people and communities:
* Join groups to learn tips from real people who’ve been there, done that
* Turn on sharing to Instagram to save time
* Privately message relatable posts that only your BFF will get or that Reels trend everyone’s talking about
Share your world:
* Use generative AI to delight friends with custom images, or just get help writing posts
* Customize your profile to choose how you show up and who sees your posts
* Effortlessly create reels from trending templates, or showcase your creativity with a full suite of editing tools
* Capture moments on the fly with stories
Some features may not be available in your country or region. 
Terms & Policies: https://www.facebook.com/policies_center
Learn how we're working to help keep our communities safe across Meta technologies at the Meta Safety Center: https://about.meta.com/actions/safety",Facebook for Android - Free App Download,"May 29, 2025",Version 515.1.0.62.90,Update,facebook.android@fb.com,"Meta Platforms, Inc.",,com.facebook.katana,success,,"Google Cloud Messaging (GCM), Yoga, Litho",,2025-06-11T19:15:57.632139,https://www.appbrain.com/app/body-color-swap/com.facebook.katana
60.4 MB,Contains ads,7.0+,Top ranked,4.32 based on 32 million ratings,33 million,,2.5 billion,"Spotify: Music and Podcasts is a music & audio app developed by Spotify AB. The APK has been available since May 2014 . In the last 30 days, the app was downloaded about 33 million times. It's top ranked. It's rated 4.32 out of 5 stars, based on 32 million ratings. The last update of the app was on June 2, 2025 . Spotify: Music and Podcasts has a content rating ""Medium Maturity"" . Spotify: Music and Podcasts has an APK download size of 60.40 MB and the latest version available is 9.0.50.416 . Designed for Android version 7.0+ . Spotify: Music and Podcasts is FREE to download.","With the Spotify music and podcast app, you can play millions of songs, albums and original podcasts for free. We have even added audiobooks, so you can enjoy thousands of stories wherever you are!
Stream music and podcasts, listen to audiobooks, discover albums, playlists or even single songs for free on your mobile or tablet. Subscribe to Spotify Premium to download and listen offline wherever you are.
Spotify gives you access to a world of free music, curated playlists, artists, and podcasts you love. Discover podcasts, new music, top songs or listen to your favorite artists and albums.
WHY SPOTIFY FOR MUSIC AND PODCASTS?
• Listen to over 80 million songs and 4 million podcasts (and counting)
• Enjoy over 300,000 newly added audiobook titles
• Discover new music, albums, playlists and original podcasts.
• Search for your favorite song or artist by typing a lyric
• Enjoy amazing sound quality on music and podcasts across all devices.
• Create and share your own music playlists to suit your mood or discover other playlists you might like.
• Listen to daily music mixes made just for you.
• Explore top songs from different genres, countries or decades.
• Subscribe to your favourite podcasts so that you never miss an episode, then curate your very own podcast library.
• Bookmark individual podcasts into Playlists
• Listen to music and podcasts on your mobile, tablet, desktop, PlayStation, Chromecast, TV, Wear OS or wearable device.
Listen and discover the latest music from artists like;
• Bad Bunny
• Billie Eilish
• Renzo Pianciola
• The Temper Trap
• Harry Styles
Listen to your favorite music artists all day every day via the Popular Radio playlist feature. Here are just some of the artists we’ve already curated;
• Taylor Swift
• Drake
• Eminem
• Coldplay
• Paolo Nutini
• Fleetwood Mac
Listen to over 40 category genres - New Releases, Charts, Live Events, Made for You, At Home, Only You, Summer, Pop, Workout, Hip-Hop, Mood, Party, Pride, Dance/Electronic, Alternative, Indie, Equal, Wellness, Rock, Frequency, R&B, Disney,, Throwback, Radar, Chill, Sleep, In the car, Kids & Family, Caribbean, Classical, Romance, Jazz, Instrumental, Afro, Christian and Gospel and Country.
Listen to popular and exclusive podcasts like;
• The Joe Rogan Experience
• Modern Wisdom
• 2 Bears, 1 Cave with Tom Segura and Bert Kreischer
• Call Her Daddy and Crime Junkie
Search, discover and play music, podcasts and audiobooks from all over the world for free, anywhere, anytime or create your own music playlists with the latest songs to suit your mood.
WHY GO PREMIUM?
• Listen to albums and playlists without ad breaks.
• Download and listen to music and podcasts offline, wherever you are.
• Jump back in and listen to your top songs with on-demand playback.
• Choose from 4 subscription options – Individual, Duo, Family, Student. There’s no commitment and you can cancel any time
Audiobooks in Premium currently available in Australia, the UK & the US. Discover 250,000+ titles, 15 hours/month of available listening for Premium Individual subscribers and Duo & Family plan managers.
Experience Spotify on your Wear OS device:
• Enjoy your favourite music and podcasts without having your phone around.
• Control playback on your phone or any of your Spotify compatible devices.
• Download your favourite content for offline listening on the go (Premium only).
• Get instant access to Spotify with our Tiles and Complications.
Please note: This app features Nielsen’s audience measurement software which will allow you to contribute to market research, such as Nielsen’s Audio Measurement. If you don't want to participate, you can opt-out within the app settings. To learn more about our digital audience measurement products and your choices in regard to them, please visit https://www.nielsen.com/digitalprivacy for more information.
Recent changes:
We’re always making changes and improvements to Spotify. To make sure you don’t miss a thing, just keep your Updates turned on.",Spotify: Music and Podcasts for Android - Free App Download,"Jun 2, 2025",Version 9.0.50.416,Update,support@spotify.com,Spotify AB,https://www.spotify.com,com.spotify.music,success,,"Android Jetpack core, Android Architecture Components, Android Jetpack VersionedParcelable, Firebase, Android Jetpack Annotations, Android Jetpack Widgets, Android Jetpack AppCompat, Android Jetpack Media, Google Cloud Messaging (GCM), Kotlin, Android WorkManager, AndroidX Widget ViewPager2, Google ZXing, Google Maps SDK, ReactiveX, Google Protocol Buffers, Lottie, FasterXML Jackson, Apache Commons I/O, MPAndroidChart, Moshi, ReLinker, Branch, Comscore Analytics",Facebook,2025-06-11T19:10:45.878720,https://www.appbrain.com/app/body-color-swap/com.spotify.music
87.1 MB,Contains ads,8.0+,Top ranked,3.74 based on 22 million ratings,9.1 million,,1.7 billion,"X (Formerly Twitter) is a news & magazines app developed by X Corp.. The APK has been available since April 2010 . In the last 30 days, the app was downloaded about 9.1 million times. It's top ranked. It's rated 3.74 out of 5 stars, based on 22 million ratings. The last update of the app was on June 2, 2025 . X (Formerly Twitter) has a content rating ""High Maturity"" . X (Formerly Twitter) has an APK download size of 87.10 MB and the latest version available is 11.2.0-release.0 . Designed for Android version 8.0+ . X (Formerly Twitter) is FREE to download.","The X app is the trusted global digital town square for everyone.
With X, you can:
- Post content for the world to see and join public conversations
- Stay up to date on breaking news and follow your interests
- Stay better informed with extra context from Community Notes
- Go live with Spaces for audio or stream live video
- Communicate privately with Direct Messages
- Subscribe to X Premium to expand your reach, get a blue checkmark, and more
- Earn a living creating exclusive content for your paid subscribers and share in the ad revenue generated in replies to your posts
- Create and join Communities around topics and interests, from sports to music to technology
- Upload and watch videos up to 3 hours in length
- Write and read long form posts like essays and blogs
- Connect directly with your customers to help your business grow",X (Formerly Twitter) for Android - Free App Download,"Jun 2, 2025",Version 11.2.0-release.0,Update,google-play-emails@twitter.com,X Corp.,https://support.twitter.com/articles/20169915,com.twitter.android,success,AdMob,"Android Jetpack core, Android Architecture Components, Android Jetpack VersionedParcelable, Firebase, Android Jetpack Annotations, Android Jetpack Widgets, Android Jetpack AppCompat, AndroidX Activity, Android Activity Saved State, AndroidX Loader, Android Jetpack Media, Google Cloud Messaging (GCM), Android Transition Support Library, Android Support Library collections, Android Support VectorDrawable, AndroidX Legacy: Support Library core utils, Kotlin, AndroidX Cursor Adapter, AndroidX Local Broadcast Manager, AndroidX Legacy: Support Library core UI, Google gson, Android Support Library Async Layout Inflater, Android WorkManager, AndroidX Widget ViewPager2, Okio, JetBrains Annotations, Glide, AndroidX ExifInterface, Google ZXing, Google Maps SDK, Retrofit, Chromium, Google Guava, ReactiveX, BoltsFramework, Google Protocol Buffers, Dagger, Lottie, Volley, Reactive Streams, greenrobot EventBus, Yoga, FasterXML Jackson, Simple Logging Facade for Java (SLF4J), okHttp, Apache Commons Codec, MPAndroidChart, Moshi, The Legion of the Bouncy Castle, Apache Http Auth, AndroidSVG, Google Play Licensing Service, TensorFlow Lite, LoganSquare, Apache Thrift",,2025-06-11T19:11:44.688496,https://www.appbrain.com/app/body-color-swap/com.twitter.android
